organ,file,class,dx,dy,mode,dice,hd
Pancreas,6_Pancreas_13_75_0.npz,2,0,5,both,0.03586648937983458,372.6043478007201
Pancreas,6_Pancreas_13_75_0.npz,2,0,-5,point,0.03550486980719318,372.6043478007201
Pancreas,6_Pancreas_13_75_0.npz,2,0,-5,box,0.03626962096833401,371.01212918178294
Pancreas,6_Pancreas_13_75_0.npz,2,0,-5,both,0.03617437598704615,372.6043478007201
Pancreas,6_Pancreas_13_75_0.npz,2,10,10,point,0.03399511406254792,369.0121949204389
Pancreas,6_Pancreas_13_75_0.npz,2,10,10,box,0.03647340055973887,372.6043478007201
Pancreas,6_Pancreas_13_75_0.npz,2,10,10,both,0.03409403354412532,370.20264720825537
Pancreas,6_Pancreas_13_75_0.npz,2,-10,-10,point,0.035712430972697586,371.4000538502923
Pancreas,6_Pancreas_13_75_0.npz,2,-10,-10,box,0.03566744635686134,372.6043478007201
Pancreas,6_Pancreas_13_75_0.npz,2,-10,-10,both,0.036187357123168,371.4000538502923
Pancreas,6_Pancreas_15_47_0.npz,2,0,0,point,0.009683078002570534,399.2993864257745
Pancreas,6_Pancreas_15_47_0.npz,2,0,0,box,0.009983402438038256,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,0,0,both,0.010333773335846853,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,5,0,point,0.00999308274514214,401.69266859130005
Pancreas,6_Pancreas_15_47_0.npz,2,5,0,box,0.0,nan
Pancreas,6_Pancreas_15_47_0.npz,2,5,0,both,0.010058753967177703,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,-5,0,point,0.009337511474059233,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,-5,0,box,0.009999129429029188,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,-5,0,both,0.009971219723403077,401.69266859130005
Pancreas,6_Pancreas_15_47_0.npz,2,0,5,point,0.010065396317789865,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,0,5,box,0.010037580017418975,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,0,5,both,0.010037031790678915,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,0,-5,point,0.01001030472545162,401.69266859130005
Pancreas,6_Pancreas_15_47_0.npz,2,0,-5,box,0.010087895459512507,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,0,-5,both,0.01004884856943405,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,10,10,point,0.010139203988459643,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,10,10,box,0.009968742079917495,401.69266859130005
Pancreas,6_Pancreas_15_47_0.npz,2,10,10,both,0.010133869600360772,403.01985062773275
Pancreas,6_Pancreas_15_47_0.npz,2,-10,-10,point,0.009852566927789793,401.03117085832616
Pancreas,6_Pancreas_15_47_0.npz,2,-10,-10,box,0.009919866761140863,402.27353877678803
Pancreas,6_Pancreas_15_47_0.npz,2,-10,-10,both,0.010060242343724485,403.01985062773275
Pancreas,6_Pancreas_17_23_0.npz,2,0,0,point,0.04476073539013519,351.5480052567501
Pancreas,6_Pancreas_17_23_0.npz,2,0,0,box,0.044224250325942356,351.5480052567501
Pancreas,6_Pancreas_17_23_0.npz,2,0,0,both,0.044567700747756275,351.5480052567501
Pancreas,6_Pancreas_17_23_0.npz,2,5,0,point,0.04467909455377534,349.9857139941572
Pancreas,6_Pancreas_17_23_0.npz,2,5,0,box,0.04493257307506794,349.6870029040256
Pancreas,6_Pancreas_17_23_0.npz,2,5,0,both,0.04413532804723666,349.9857139941572
Pancreas,6_Pancreas_17_23_0.npz,2,-5,0,point,0.04422004961330546,349.07019351414124
Pancreas,6_Pancreas_17_23_0.npz,2,-5,0,box,0.04469404049556178,351.5480052567501
Pancreas,6_Pancreas_17_23_0.npz,2,-5,0,both,0.03660326884806166,349.07019351414124
Pancreas,6_Pancreas_17_23_0.npz,2,0,5,point,0.043752976211625966,351.5480052567501
Pancreas,6_Pancreas_17_23_0.npz,2,0,5,box,0.04388646932174131,350.3055808861743
Pancreas,6_Pancreas_17_23_0.npz,2,0,5,both,0.044533003637059344,350.76630396889607
Pancreas,6_Pancreas_17_23_0.npz,2,0,-5,point,0.044579344866951094,349.9857139941572
Pancreas,6_Pancreas_17_23_0.npz,2,0,-5,box,0.04464244706746702,351.5480052567501
Pancreas,6_Pancreas_17_23_0.npz,2,0,-5,both,0.0439588314002496,350.3055808861743
Pancreas,6_Pancreas_17_23_0.npz,2,10,10,point,0.044603482360095204,350.9259181080816
